timestamp,location-long,location-lat,tag-local-identifier,individual-local-identifier
18-10-2019 01:06,77.457367,-37.92175,SNA14,AP6
18-10-2019 01:11,77.453583,-37.891333,SNA14,AP6
18-10-2019 01:16,77.451267,-37.8639,SNA14,AP6
18-10-2019 01:21,77.4498,-37.860283,SNA14,AP6
18-10-2019 01:26,77.45065,-37.859133,SNA14,AP6
18-10-2019 01:31,77.450117,-37.859583,SNA14,AP6
18-10-2019 01:36,77.452833,-37.850283,SNA14,AP6
18-10-2019 01:41,77.45425,-37.816617,SNA14,AP6
18-10-2019 01:47,77.454217,-37.809933,SNA14,AP6
18-10-2019 01:52,77.45495,-37.80995,SNA14,AP6
18-10-2019 01:57,77.456583,-37.808717,SNA14,AP6
18-10-2019 02:02,77.457283,-37.808483,SNA14,AP6
18-10-2019 02:07,77.458417,-37.807383,SNA14,AP6
18-10-2019 02:12,77.459333,-37.80685,SNA14,AP6
18-10-2019 02:17,77.460483,-37.806333,SNA14,AP6
18-10-2019 02:22,77.461567,-37.805667,SNA14,AP6
18-10-2019 02:27,77.46645,-37.803633,SNA14,AP6
18-10-2019 02:32,77.4632,-37.8188,SNA14,AP6
18-10-2019 02:38,77.468667,-37.83775,SNA14,AP6
18-10-2019 02:43,77.50345,-37.8515,SNA14,AP6
18-10-2019 02:48,77.50335,-37.850433,SNA14,AP6
18-10-2019 02:53,77.503717,-37.849867,SNA14,AP6
18-10-2019 02:58,77.503983,-37.848917,SNA14,AP6
18-10-2019 03:03,77.5041,-37.84805,SNA14,AP6
18-10-2019 03:08,77.50675,-37.84815,SNA14,AP6
18-10-2019 03:13,77.504733,-37.840767,SNA14,AP6
18-10-2019 03:18,77.506433,-37.8377,SNA14,AP6
18-10-2019 03:23,77.510567,-37.836683,SNA14,AP6
18-10-2019 03:29,77.52085,-37.85545,SNA14,AP6
18-10-2019 03:35,77.51825,-37.8465,SNA14,AP6
18-10-2019 03:40,77.518333,-37.846467,SNA14,AP6
18-10-2019 03:45,77.518283,-37.846483,SNA14,AP6
18-10-2019 03:50,77.518217,-37.846483,SNA14,AP6
18-10-2019 03:55,77.518333,-37.846517,SNA14,AP6
18-10-2019 04:00,77.518483,-37.846533,SNA14,AP6
18-10-2019 04:05,77.51845,-37.84655,SNA14,AP6
18-10-2019 04:10,77.5183,-37.846517,SNA14,AP6
18-10-2019 04:16,77.5185,-37.846533,SNA14,AP6
18-10-2019 04:21,77.518533,-37.84655,SNA14,AP6
18-10-2019 04:26,77.518767,-37.846717,SNA14,AP6
18-10-2019 04:31,77.518633,-37.846567,SNA14,AP6
18-10-2019 04:36,77.518583,-37.846683,SNA14,AP6
18-10-2019 04:41,77.518567,-37.846683,SNA14,AP6
18-10-2019 04:46,77.518667,-37.846617,SNA14,AP6
18-10-2019 04:51,77.518083,-37.8465,SNA14,AP6
18-10-2019 04:56,77.51855,-37.84655,SNA14,AP6
18-10-2019 05:02,77.518417,-37.84665,SNA14,AP6
18-10-2019 05:07,77.518233,-37.846533,SNA14,AP6
18-10-2019 05:12,77.518217,-37.846683,SNA14,AP6
18-10-2019 05:17,77.518283,-37.846633,SNA14,AP6
18-10-2019 05:22,77.51825,-37.8467,SNA14,AP6
18-10-2019 05:28,77.518317,-37.846733,SNA14,AP6
18-10-2019 05:33,77.51825,-37.846633,SNA14,AP6
18-10-2019 05:38,77.517967,-37.846783,SNA14,AP6
18-10-2019 05:43,77.518367,-37.8468,SNA14,AP6
18-10-2019 05:48,77.518417,-37.8466,SNA14,AP6
18-10-2019 05:53,77.51825,-37.846683,SNA14,AP6
18-10-2019 05:58,77.518517,-37.84675,SNA14,AP6
18-10-2019 06:03,77.518417,-37.846667,SNA14,AP6
18-10-2019 06:08,77.518183,-37.8467,SNA14,AP6
18-10-2019 06:14,77.517867,-37.8469,SNA14,AP6
18-10-2019 06:19,77.518767,-37.846767,SNA14,AP6
18-10-2019 06:25,77.518017,-37.846483,SNA14,AP6
18-10-2019 06:30,77.5157,-37.846317,SNA14,AP6
18-10-2019 06:35,77.517867,-37.846583,SNA14,AP6
18-10-2019 06:40,77.517767,-37.84635,SNA14,AP6
18-10-2019 06:45,77.518533,-37.846633,SNA14,AP6
18-10-2019 06:50,77.51385,-37.8575,SNA14,AP6
18-10-2019 06:55,77.510933,-37.861317,SNA14,AP6
18-10-2019 07:01,77.515083,-37.853817,SNA14,AP6
18-10-2019 07:06,77.516417,-37.862417,SNA14,AP6
18-10-2019 07:12,77.519117,-37.859517,SNA14,AP6
18-10-2019 07:17,77.520933,-37.848917,SNA14,AP6
18-10-2019 07:22,77.503433,-37.8161,SNA14,AP6
18-10-2019 07:27,77.4937,-37.77755,SNA14,AP6
18-10-2019 07:32,77.477583,-37.745217,SNA14,AP6
18-10-2019 07:37,77.462467,-37.714583,SNA14,AP6
18-10-2019 07:42,77.461383,-37.681083,SNA14,AP6
18-10-2019 07:47,77.46305,-37.651517,SNA14,AP6
18-10-2019 07:52,77.466167,-37.634533,SNA14,AP6
18-10-2019 07:57,77.465617,-37.623383,SNA14,AP6
18-10-2019 08:03,77.465267,-37.617183,SNA14,AP6
18-10-2019 08:08,77.465483,-37.618,SNA14,AP6
18-10-2019 08:13,77.4663,-37.618833,SNA14,AP6
18-10-2019 08:18,77.46725,-37.619583,SNA14,AP6
18-10-2019 08:23,77.468467,-37.619183,SNA14,AP6
18-10-2019 08:28,77.468867,-37.619367,SNA14,AP6
18-10-2019 08:33,77.468767,-37.595617,SNA14,AP6
18-10-2019 08:38,77.46325,-37.567917,SNA14,AP6
18-10-2019 08:43,77.45685,-37.55165,SNA14,AP6
18-10-2019 08:48,77.452417,-37.537433,SNA14,AP6
18-10-2019 08:53,77.448783,-37.5377,SNA14,AP6
18-10-2019 08:58,77.445283,-37.5288,SNA14,AP6
18-10-2019 09:04,77.446167,-37.529367,SNA14,AP6
18-10-2019 09:09,77.4467,-37.5295,SNA14,AP6
18-10-2019 09:14,77.447367,-37.5294,SNA14,AP6
18-10-2019 09:19,77.448083,-37.529383,SNA14,AP6
18-10-2019 09:24,77.448817,-37.529617,SNA14,AP6
18-10-2019 09:29,77.449333,-37.529733,SNA14,AP6
18-10-2019 09:34,77.45005,-37.529483,SNA14,AP6
18-10-2019 09:40,77.45075,-37.529233,SNA14,AP6
18-10-2019 09:45,77.45155,-37.52885,SNA14,AP6
18-10-2019 09:50,77.452333,-37.52835,SNA14,AP6
18-10-2019 09:55,77.453367,-37.528067,SNA14,AP6
18-10-2019 10:00,77.4542,-37.52795,SNA14,AP6
18-10-2019 10:05,77.45525,-37.527683,SNA14,AP6
18-10-2019 10:10,77.4562,-37.527517,SNA14,AP6
18-10-2019 10:16,77.457167,-37.527317,SNA14,AP6
18-10-2019 10:21,77.45805,-37.526833,SNA14,AP6
18-10-2019 10:26,77.459817,-37.5267,SNA14,AP6
18-10-2019 10:31,77.461217,-37.526267,SNA14,AP6
18-10-2019 10:36,77.462283,-37.525933,SNA14,AP6
18-10-2019 10:41,77.463433,-37.52555,SNA14,AP6
18-10-2019 10:46,77.46475,-37.525067,SNA14,AP6
18-10-2019 10:51,77.465933,-37.524617,SNA14,AP6
18-10-2019 10:57,77.467417,-37.524367,SNA14,AP6
18-10-2019 11:02,77.468967,-37.524133,SNA14,AP6
18-10-2019 18:03,77.5713,-37.456617,SNA14,AP6
18-10-2019 18:08,77.574717,-37.463333,SNA14,AP6
18-10-2019 18:13,77.5758,-37.476817,SNA14,AP6
18-10-2019 18:18,77.5817,-37.4918,SNA14,AP6
18-10-2019 18:24,77.5869,-37.509667,SNA14,AP6
18-10-2019 18:29,77.593067,-37.525133,SNA14,AP6
18-10-2019 18:34,77.614533,-37.550483,SNA14,AP6
18-10-2019 18:39,77.629867,-37.580767,SNA14,AP6
18-10-2019 18:44,77.635867,-37.611233,SNA14,AP6
18-10-2019 18:49,77.64375,-37.640667,SNA14,AP6
18-10-2019 18:55,77.646833,-37.6553,SNA14,AP6
18-10-2019 19:00,77.646033,-37.674133,SNA14,AP6
18-10-2019 19:05,77.64455,-37.6963,SNA14,AP6
18-10-2019 19:10,77.633917,-37.709517,SNA14,AP6
18-10-2019 19:15,77.627583,-37.722767,SNA14,AP6
18-10-2019 19:20,77.623967,-37.745133,SNA14,AP6
18-10-2019 19:25,77.618267,-37.751217,SNA14,AP6
18-10-2019 19:30,77.613367,-37.760567,SNA14,AP6
18-10-2019 19:36,77.605767,-37.766983,SNA14,AP6
18-10-2019 19:41,77.599467,-37.76415,SNA14,AP6
18-10-2019 19:46,77.589817,-37.774867,SNA14,AP6
18-10-2019 19:51,77.582167,-37.76965,SNA14,AP6
18-10-2019 19:56,77.572817,-37.772283,SNA14,AP6
18-10-2019 20:01,77.5649,-37.778583,SNA14,AP6
18-10-2019 20:06,77.553167,-37.783767,SNA14,AP6
18-10-2019 20:11,77.547383,-37.783933,SNA14,AP6
18-10-2019 20:16,77.542167,-37.785133,SNA14,AP6
18-10-2019 20:22,77.538783,-37.7928,SNA14,AP6
18-10-2019 20:27,77.538783,-37.7928,SNA14,AP6
18-10-2019 20:32,77.5392,-37.794583,SNA14,AP6
18-10-2019 20:37,77.534,-37.795267,SNA14,AP6
18-10-2019 20:42,77.52835,-37.798333,SNA14,AP6
18-10-2019 20:48,77.521767,-37.80905,SNA14,AP6
18-10-2019 20:53,77.513933,-37.822517,SNA14,AP6
18-10-2019 20:58,77.509467,-37.840083,SNA14,AP6
18-10-2019 21:04,77.510483,-37.856117,SNA14,AP6
18-10-2019 21:09,77.507583,-37.86365,SNA14,AP6
18-10-2019 21:14,77.509233,-37.86405,SNA14,AP6
18-10-2019 21:19,77.521217,-37.8556,SNA14,AP6
18-10-2019 21:26,77.522383,-37.85455,SNA14,AP6
18-10-2019 21:32,77.524517,-37.8545,SNA14,AP6
18-10-2019 21:38,77.52435,-37.854433,SNA14,AP6
18-10-2019 21:44,77.52435,-37.854383,SNA14,AP6
18-10-2019 21:50,77.524283,-37.854433,SNA14,AP6
18-10-2019 21:55,77.52395,-37.854533,SNA14,AP6
18-10-2019 22:02,77.5243,-37.854383,SNA14,AP6
18-10-2019 22:07,77.524767,-37.854433,SNA14,AP6
18-10-2019 22:12,77.524333,-37.854383,SNA14,AP6
18-10-2019 22:18,77.524183,-37.85445,SNA14,AP6
18-10-2019 22:23,77.524417,-37.8544,SNA14,AP6
18-10-2019 22:29,77.524317,-37.854483,SNA14,AP6
18-10-2019 22:34,77.524517,-37.854367,SNA14,AP6
18-10-2019 22:40,77.524267,-37.854383,SNA14,AP6
18-10-2019 22:46,77.524183,-37.8545,SNA14,AP6
18-10-2019 22:51,77.524317,-37.854483,SNA14,AP6
18-10-2019 22:57,77.524183,-37.854767,SNA14,AP6
18-10-2019 23:02,77.524133,-37.8548,SNA14,AP6
18-10-2019 23:07,77.524133,-37.85475,SNA14,AP6
18-10-2019 23:13,77.5242,-37.85475,SNA14,AP6
18-10-2019 23:19,77.524267,-37.854683,SNA14,AP6
18-10-2019 23:24,77.524317,-37.854667,SNA14,AP6
18-10-2019 23:30,77.5243,-37.854667,SNA14,AP6
18-10-2019 23:35,77.5243,-37.8548,SNA14,AP6
18-10-2019 23:41,77.524217,-37.8546,SNA14,AP6
18-10-2019 23:46,77.524183,-37.8542,SNA14,AP6
18-10-2019 23:52,77.52385,-37.854383,SNA14,AP6
18-10-2019 23:57,77.522983,-37.854967,SNA14,AP6
19-10-2019 00:03,77.52415,-37.855183,SNA14,AP6
19-10-2019 00:09,77.524433,-37.854283,SNA14,AP6
19-10-2019 00:14,77.524667,-37.853667,SNA14,AP6
19-10-2019 00:20,77.524983,-37.852833,SNA14,AP6
19-10-2019 00:26,77.524733,-37.853667,SNA14,AP6
19-10-2019 00:31,77.524567,-37.853917,SNA14,AP6
19-10-2019 00:37,77.524717,-37.85385,SNA14,AP6
19-10-2019 00:43,77.524883,-37.853833,SNA14,AP6
19-10-2019 00:48,77.524733,-37.853967,SNA14,AP6
19-10-2019 00:54,77.5245,-37.8543,SNA14,AP6
19-10-2019 00:59,77.5247,-37.854167,SNA14,AP6
19-10-2019 01:05,77.524567,-37.854317,SNA14,AP6
19-10-2019 01:10,77.52455,-37.854383,SNA14,AP6
19-10-2019 01:16,77.52475,-37.854217,SNA14,AP6
19-10-2019 01:21,77.524583,-37.854417,SNA14,AP6
19-10-2019 01:27,77.524467,-37.854483,SNA14,AP6
19-10-2019 01:32,77.5245,-37.854467,SNA14,AP6
19-10-2019 01:38,77.524767,-37.85435,SNA14,AP6
19-10-2019 01:43,77.524417,-37.854567,SNA14,AP6
19-10-2019 01:49,77.524233,-37.854683,SNA14,AP6
19-10-2019 01:54,77.524267,-37.854617,SNA14,AP6
19-10-2019 01:59,77.524483,-37.854433,SNA14,AP6
19-10-2019 02:05,77.524117,-37.854967,SNA14,AP6
19-10-2019 02:11,77.524317,-37.85475,SNA14,AP6
19-10-2019 02:16,77.5243,-37.854767,SNA14,AP6
19-10-2019 02:22,77.5247,-37.854067,SNA14,AP6
19-10-2019 02:27,77.524683,-37.854017,SNA14,AP6
19-10-2019 02:33,77.525067,-37.853517,SNA14,AP6
19-10-2019 02:38,77.524783,-37.853933,SNA14,AP6
19-10-2019 02:44,77.524717,-37.854033,SNA14,AP6
19-10-2019 02:49,77.52465,-37.854067,SNA14,AP6
19-10-2019 02:55,77.52435,-37.85425,SNA14,AP6
19-10-2019 03:01,77.5244,-37.854133,SNA14,AP6
19-10-2019 03:07,77.52435,-37.854317,SNA14,AP6
19-10-2019 03:12,77.5245,-37.85415,SNA14,AP6
19-10-2019 03:59,77.5243,-37.854467,SNA14,AP6
19-10-2019 03:59,77.5243,-37.854517,SNA14,AP6
19-10-2019 04:00,77.524333,-37.85445,SNA14,AP6
19-10-2019 04:01,77.524333,-37.8546,SNA14,AP6
19-10-2019 04:01,77.524367,-37.8545,SNA14,AP6
19-10-2019 04:07,77.5244,-37.85465,SNA14,AP6
19-10-2019 04:12,77.524367,-37.854467,SNA14,AP6
19-10-2019 04:18,77.5242,-37.854533,SNA14,AP6
19-10-2019 04:23,77.524267,-37.8545,SNA14,AP6
19-10-2019 04:29,77.524083,-37.854617,SNA14,AP6
19-10-2019 04:34,77.524167,-37.8545,SNA14,AP6
19-10-2019 04:40,77.5241,-37.854533,SNA14,AP6
19-10-2019 04:45,77.52405,-37.854533,SNA14,AP6
19-10-2019 04:50,77.523933,-37.854533,SNA14,AP6
19-10-2019 04:56,77.52395,-37.8545,SNA14,AP6
19-10-2019 05:01,77.523983,-37.854583,SNA14,AP6
19-10-2019 05:06,77.524117,-37.85465,SNA14,AP6
19-10-2019 05:12,77.523983,-37.854583,SNA14,AP6
19-10-2019 05:17,77.524033,-37.85445,SNA14,AP6
19-10-2019 05:23,77.524083,-37.8545,SNA14,AP6
19-10-2019 05:28,77.523967,-37.854583,SNA14,AP6
19-10-2019 05:33,77.524,-37.854533,SNA14,AP6
19-10-2019 05:39,77.524,-37.85455,SNA14,AP6
19-10-2019 05:44,77.523983,-37.854517,SNA14,AP6
19-10-2019 05:49,77.524033,-37.85455,SNA14,AP6
19-10-2019 05:55,77.524,-37.85375,SNA14,AP6
19-10-2019 06:01,77.524067,-37.85435,SNA14,AP6
19-10-2019 06:06,77.524583,-37.854667,SNA14,AP6
19-10-2019 06:11,77.5245,-37.854467,SNA14,AP6
19-10-2019 06:16,77.524533,-37.85445,SNA14,AP6
19-10-2019 06:22,77.524033,-37.85445,SNA14,AP6
02-11-2019 11:04,77.524283,-37.854583,SNA01,AP3
02-11-2019 18:23,77.524267,-37.85445,SNA01,AP3
02-11-2019 18:28,77.5244,-37.854483,SNA01,AP3
02-11-2019 18:34,77.5241,-37.85445,SNA01,AP3
02-11-2019 18:39,77.524317,-37.85445,SNA01,AP3
02-11-2019 18:45,77.524183,-37.85465,SNA01,AP3
02-11-2019 18:51,77.524483,-37.8544,SNA01,AP3
02-11-2019 18:56,77.524483,-37.854433,SNA01,AP3
02-11-2019 19:02,77.5244,-37.85445,SNA01,AP3
02-11-2019 19:07,77.520817,-37.853183,SNA01,AP3
02-11-2019 19:13,77.52435,-37.8544,SNA01,AP3
02-11-2019 19:18,77.5188,-37.85835,SNA01,AP3
02-11-2019 19:24,77.517133,-37.871483,SNA01,AP3
02-11-2019 19:29,77.5188,-37.87235,SNA01,AP3
02-11-2019 19:34,77.536333,-37.866583,SNA01,AP3
02-11-2019 19:39,77.523767,-37.85435,SNA01,AP3
02-11-2019 19:45,77.52385,-37.854467,SNA01,AP3
02-11-2019 19:50,77.5244,-37.854367,SNA01,AP3
02-11-2019 19:56,77.524733,-37.874083,SNA01,AP3
02-11-2019 20:01,77.538333,-37.885117,SNA01,AP3
02-11-2019 20:06,77.601567,-37.9051,SNA01,AP3
02-11-2019 20:11,77.610217,-37.873783,SNA01,AP3
02-11-2019 20:16,77.604367,-37.850783,SNA01,AP3
02-11-2019 20:21,77.60045,-37.8498,SNA01,AP3
02-11-2019 20:26,77.605233,-37.836083,SNA01,AP3
02-11-2019 20:32,77.599583,-37.851567,SNA01,AP3
02-11-2019 20:37,77.599983,-37.848233,SNA01,AP3
02-11-2019 20:42,77.60235,-37.85805,SNA01,AP3
02-11-2019 20:47,77.5975,-37.864967,SNA01,AP3
02-11-2019 20:52,77.589117,-37.871683,SNA01,AP3
02-11-2019 20:58,77.58845,-37.871833,SNA01,AP3
02-11-2019 21:03,77.582333,-37.87765,SNA01,AP3
02-11-2019 21:08,77.571983,-37.885833,SNA01,AP3
02-11-2019 21:13,77.556483,-37.88495,SNA01,AP3
02-11-2019 21:18,77.54805,-37.879967,SNA01,AP3
02-11-2019 21:23,77.527017,-37.858883,SNA01,AP3
02-11-2019 21:29,77.508483,-37.855033,SNA01,AP3
